"userId","role","location","TotalMeces","señority"
"24c2181e-33ef-4867-894b-5112304e2adc","analista ",\N,"5","0"
"3a1dccbd-da45-42f3-aa9f-fcdfdd800f60","gerente de desarrollo web y mkt digital",\N,"40","0"
"f7f03800-584f-4aa9-b308-f8c802baac50","project manager",\N,"21","0"
"f7f03800-584f-4aa9-b308-f8c802baac50","community manager",\N,"21","0"
"f7f03800-584f-4aa9-b308-f8c802baac50","ejecutivo de operación ",\N,"9","0"
"e19ccf3b-0f45-45fe-af38-6e15e68422b9","fotógrafo y editor ",\N,"28","0"
"e19ccf3b-0f45-45fe-af38-6e15e68422b9","diseñador y creativo",\N,"12","1"
"e19ccf3b-0f45-45fe-af38-6e15e68422b9","social media manager ",\N,"12","0"
"e19ccf3b-0f45-45fe-af38-6e15e68422b9","coordinador de comunicación y marketing digital ",\N,"12","0"
"e19ccf3b-0f45-45fe-af38-6e15e68422b9","asistente de performance y ejecutivo de cuentas ",\N,"5","0"
"e19ccf3b-0f45-45fe-af38-6e15e68422b9","active planning digital ",\N,"16","0"
"e19ccf3b-0f45-45fe-af38-6e15e68422b9","performance manager digital ",\N,"16","0"
"e19ccf3b-0f45-45fe-af38-6e15e68422b9","performance lead digital ",\N,"13","4"
"00785a3f-08fc-4973-954e-c3cfe5c0bfd4","gerente control de calidad",\N,"13","0"
"e562803a-bd49-4c1b-bee4-e56dd7d7dc47","project manager",\N,"7","3"
"e562803a-bd49-4c1b-bee4-e56dd7d7dc47","project manager",\N,"33","3"
"e562803a-bd49-4c1b-bee4-e56dd7d7dc47","líder de proyecto",\N,"28","0"
"e562803a-bd49-4c1b-bee4-e56dd7d7dc47","analista de sistemas ",\N,"4","0"
"e562803a-bd49-4c1b-bee4-e56dd7d7dc47","programador php ",\N,"5","3"
"e562803a-bd49-4c1b-bee4-e56dd7d7dc47","programador web php",\N,"19","0"
"811bf032-a4dc-4c18-89e1-84caef50a27e","community manager",\N,"14","0"
"811bf032-a4dc-4c18-89e1-84caef50a27e","community manager",\N,"12","0"
"811bf032-a4dc-4c18-89e1-84caef50a27e","asistente personal",\N,"58","0"
"811bf032-a4dc-4c18-89e1-84caef50a27e","analista de medios de comunicación",\N,"31","0"
"cd2d3ad0-b2c3-48fc-a217-5000cd7c5670","asociado de tienda",\N,"19","0"
"cd2d3ad0-b2c3-48fc-a217-5000cd7c5670","servicio social y asistente comercial",\N,"16","0"
"cd2d3ad0-b2c3-48fc-a217-5000cd7c5670","auxiliar de recursos humanos",\N,"12","0"
"eb17d7f8-d86e-4c74-8c40-bb2b4f7879c3","fotógrafa",\N,"20","0"
"eb17d7f8-d86e-4c74-8c40-bb2b4f7879c3","creadora de contenido para redes sociales",\N,"15","0"
"eb17d7f8-d86e-4c74-8c40-bb2b4f7879c3","diseño de merchandising",\N,"2","0"
"eb17d7f8-d86e-4c74-8c40-bb2b4f7879c3","creación de contenido para redes sociales",\N,"5","0"
"8f704230-50bc-4958-9ba2-e406f690f17b","editora de video",\N,"31","0"
"8f704230-50bc-4958-9ba2-e406f690f17b","editora y post productora freelance",\N,"13","0"
"8f704230-50bc-4958-9ba2-e406f690f17b","editora de video",\N,"12","0"
"2be88a68-8472-448d-b729-ecbc1c319161","programador web",\N,"9","0"
"484c8244-2923-4d47-95a3-c2570e378394","investigadora y coordinadora ",\N,"22","0"
"484c8244-2923-4d47-95a3-c2570e378394","coordinadora de educación cooperativa",\N,"12","0"
"484c8244-2923-4d47-95a3-c2570e378394","profesora",\N,"29","0"
"484c8244-2923-4d47-95a3-c2570e378394","profesora",\N,"46","0"
"af130f32-9533-47ea-8998-8e551436b5b8","redactor y productor de contenido",\N,"8","0"
"8b5d9080-8a1c-4c07-9999-2c5890be3246","director general",\N,"2","0"
"8b5d9080-8a1c-4c07-9999-2c5890be3246","creador y editor de video",\N,"13","0"
"8b5d9080-8a1c-4c07-9999-2c5890be3246","creador de video",\N,"7","0"
"8b5d9080-8a1c-4c07-9999-2c5890be3246","comunicación social ",\N,"41","0"
"8b5d9080-8a1c-4c07-9999-2c5890be3246","editor y reportero",\N,"48","0"
"5050c54d-e5eb-47b2-9f0d-815a540c4f9f","redactor/ periodista",\N,"13","0"
"5050c54d-e5eb-47b2-9f0d-815a540c4f9f","creación de contenido/ periodista",\N,"34","0"
"5050c54d-e5eb-47b2-9f0d-815a540c4f9f","creación de contenido y redes sociales",\N,"14","0"
"91c86ca5-ec92-43dc-8f8c-a525cb77cf6d","social media manager",\N,"22","0"
"91c86ca5-ec92-43dc-8f8c-a525cb77cf6d","community managment",\N,"9","0"
"91c86ca5-ec92-43dc-8f8c-a525cb77cf6d","jefa de departamento del área de contenidos y redes sociales en la dirección de comunicación social",\N,"34","0"
"91c86ca5-ec92-43dc-8f8c-a525cb77cf6d","copywriter",\N,"1","0"
"2252b9c2-4ba3-4752-8e7f-4437e0f2dd94","encargado de inventario. ",\N,"23","0"
"2252b9c2-4ba3-4752-8e7f-4437e0f2dd94","soporte técnico  ",\N,"1","0"
"5c5af791-8028-4e81-91ca-4015389ed8c5","jefe de desarrollo y sistemas",\N,"39","0"
"7727dff1-8a97-4b09-a29e-20de3232a1b9","desarrollador de marca",\N,"72","0"
"7727dff1-8a97-4b09-a29e-20de3232a1b9","diseñador de tácticas/ formatos/ encuestador y analista.",\N,"7","0"
"7727dff1-8a97-4b09-a29e-20de3232a1b9","freelance",\N,"8","0"
"7727dff1-8a97-4b09-a29e-20de3232a1b9","dir. vinculación empresarial",\N,"12","0"
"7727dff1-8a97-4b09-a29e-20de3232a1b9","fundador y gerente",\N,"17","0"
"7727dff1-8a97-4b09-a29e-20de3232a1b9","fundador/ operaciones/ cuentas/ ventas",\N,"14","0"
"b2baed84-9a1c-41ab-8951-17b2d78096eb","coordinadora de comunicación y difusión cultural",\N,"25","0"
"0c890c11-e7d6-4f03-9da6-9b13db70083f","reportero",\N,"33","0"
"0c890c11-e7d6-4f03-9da6-9b13db70083f","asistente de medios",\N,"18","0"
"0c890c11-e7d6-4f03-9da6-9b13db70083f","reportero ",\N,"12","0"
"a6ed3fa0-9555-4fec-8acb-9ed7a8359d92","analista de pruebas",\N,"37","0"
"29ae01df-dae2-48c6-8e28-ed5d876dd608","facturacion",\N,"4","0"
"e42d295b-7f5f-46eb-9218-8958eea6685d","diseño gráfico y diseño web ",\N,"37","0"
"43afd954-f2d2-4b44-a929-725bd4663301","content manager",\N,"13","0"
